ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202021,RMPLO35009,SCUOLA SECONDARIA II GRADO,4,1,3,1
202021,MB1M01900V,SCUOLA SECONDARIA I GRADO,2,3,36,42
202021,MB1E037007,SCUOLA PRIMARIA,1,2,20,12
202021,BOPS525001,SCUOLA SECONDARIA II GRADO,2,2,19,18
202021,ALPM02500D,SCUOLA SECONDARIA II GRADO,4,1,2,9
202021,UD1E002004,SCUOLA PRIMARIA,1,1,3,9
202021,BO1E01600L,SCUOLA PRIMARIA,5,2,20,24
202021,VIPM01500B,SCUOLA SECONDARIA II GRADO,5,1,11,14
202021,SSTD00500D,SCUOLA SECONDARIA II GRADO,5,1,12,3
202021,RM1E07400T,SCUOLA PRIMARIA,4,1,8,5
202021,FIPS00500D,SCUOLA SECONDARIA II GRADO,3,1,12,2
202021,NATL175003,SCUOLA SECONDARIA II GRADO,5,2,54,16
202021,NATL95500B,SCUOLA SECONDARIA II GRADO,4,1,0,4
202021,RC1E01100G,SCUOLA PRIMARIA,4,1,9,3
202021,NA1E24900X,SCUOLA PRIMARIA,2,1,8,11
202021,TOPC11500C,SCUOLA SECONDARIA II GRADO,1,1,0,1
202021,LC1E004001,SCUOLA PRIMARIA,1,1,20,9
202021,VBSLCH500S,SCUOLA SECONDARIA II GRADO,2,1,3,7
202021,COPSIS500Q,SCUOLA SECONDARIA II GRADO,5,1,11,8
202021,MBPL315001,SCUOLA SECONDARIA II GRADO,3,1,4,5
202021,VR1E00500V,SCUOLA PRIMARIA,4,1,9,12
202021,MI1E018001,SCUOLA PRIMARIA,5,1,8,11
202021,RM1E18300D,SCUOLA PRIMARIA,1,1,7,9
202021,ALPS005007,SCUOLA SECONDARIA II GRADO,4,1,10,2
202021,NATNHS5003,SCUOLA SECONDARIA II GRADO,3,1,4,5
202021,TV1E01600N,SCUOLA PRIMARIA,2,2,23,19
202021,SVPM02500N,SCUOLA SECONDARIA II GRADO,1,1,6,16
202021,BO1E00100V,SCUOLA PRIMARIA,4,1,17,9
202021,VE1E00800P,SCUOLA PRIMARIA,2,1,3,6
202021,CETD135008,SCUOLA SECONDARIA II GRADO,2,1,3,0
202021,NATD33500X,SCUOLA SECONDARIA II GRADO,2,1,13,2
202021,RMRFB3500L,SCUOLA SECONDARIA II GRADO,2,1,2,2
202021,NARF0C5004,SCUOLA SECONDARIA II GRADO,2,1,2,5
202021,RM1E001004,SCUOLA PRIMARIA,2,1,17,6
202021,BGPL055009,SCUOLA SECONDARIA II GRADO,1,1,0,2
202021,VA1E01400G,SCUOLA PRIMARIA,5,1,6,4
202021,FIPS08500A,SCUOLA SECONDARIA II GRADO,2,1,11,7
202021,BGTD085006,SCUOLA SECONDARIA II GRADO,5,1,20,9
202021,PR1M010004,SCUOLA SECONDARIA I GRADO,1,2,23,22
202021,CE1E00900T,SCUOLA PRIMARIA,1,1,8,7
202021,MO1E00900B,SCUOLA PRIMARIA,4,2,14,16
202021,NAPL7N500U,SCUOLA SECONDARIA II GRADO,5,3,41,54
202021,CETF01500C,SCUOLA SECONDARIA II GRADO,4,1,12,0
202021,GE1E03700L,SCUOLA PRIMARIA,5,1,12,14
202021,TV1E01100E,SCUOLA PRIMARIA,4,1,9,15
202021,MI1M069003,SCUOLA SECONDARIA I GRADO,2,2,30,24
202021,RMPSHQ500O,SCUOLA SECONDARIA II GRADO,2,1,12,2
202021,FGTDO25007,SCUOLA SECONDARIA II GRADO,4,1,2,1
202021,PNPS03500L,SCUOLA SECONDARIA II GRADO,4,1,5,5
202021,ME1EOF500O,SCUOLA PRIMARIA,3,3,23,18
202021,MCPL0P500L,SCUOLA SECONDARIA II GRADO,2,1,0,1
202021,RM1EII500V,SCUOLA PRIMARIA,7,1,5,4
202021,VRTD025005,SCUOLA SECONDARIA II GRADO,5,1,12,9
202021,VR1E01000A,SCUOLA PRIMARIA,1,1,10,12
202021,FIPS04500X,SCUOLA SECONDARIA II GRADO,4,2,31,4
202021,RM1E198007,SCUOLA PRIMARIA,2,1,9,11
202021,PSTF005006,SCUOLA SECONDARIA II GRADO,4,1,29,2
202021,RM1E06900A,SCUOLA PRIMARIA,4,1,10,10
202021,BO1E00800N,SCUOLA PRIMARIA,1,1,10,8
202021,PO1E00700X,SCUOLA PRIMARIA,1,2,23,27
202021,VETFO1500N,SCUOLA SECONDARIA II GRADO,5,1,5,3
202021,VEPMLV5000,SCUOLA SECONDARIA II GRADO,3,1,6,15
202021,NA1E04100G,SCUOLA PRIMARIA,3,2,27,19
202021,RM1E12900R,SCUOLA PRIMARIA,3,1,17,8
202021,PV1MPM500O,SCUOLA SECONDARIA I GRADO,2,1,7,8
202021,TVPS02500N,SCUOLA SECONDARIA II GRADO,1,2,18,2
202021,COPS04500P,SCUOLA SECONDARIA II GRADO,3,1,7,5
202021,SATFHU5008,SCUOLA SECONDARIA II GRADO,3,1,5,0
202021,SA1E01500D,SCUOLA PRIMARIA,4,1,11,6
202021,RM1M016003,SCUOLA SECONDARIA I GRADO,3,1,16,10
202021,CE1E016001,SCUOLA PRIMARIA,5,1,12,6
202021,RM1E200002,SCUOLA PRIMARIA,1,1,3,1
202021,TO1E012002,SCUOLA PRIMARIA,1,1,14,9
202021,CN1M00400Q,SCUOLA SECONDARIA I GRADO,1,1,11,10
202021,RM1E022005,SCUOLA PRIMARIA,2,1,6,11
202021,PG1MB2500Q,SCUOLA SECONDARIA I GRADO,1,1,13,8
202021,SATA2M500B,SCUOLA SECONDARIA II GRADO,5,2,50,20
