ANNOSCOLASTICO,CODICESCUOLA,ORDINESCUOLA,ANNOCORSOCLASSE,CLASSI,ALUNNIMASCHI,ALUNNIFEMMINE
202021,UD1E00300X,SCUOLA PRIMARIA,1,1,11,8
202021,GE1M02500G,SCUOLA SECONDARIA I GRADO,3,1,12,5
202021,RMPMFO500A,SCUOLA SECONDARIA II GRADO,2,1,2,17
202021,TV1M006008,SCUOLA SECONDARIA I GRADO,3,1,12,6
202021,BG1E021006,SCUOLA PRIMARIA,5,1,8,10
202021,MBTD35500C,SCUOLA SECONDARIA II GRADO,5,1,7,7
202021,REPSQE5008,SCUOLA SECONDARIA II GRADO,1,1,6,3
202021,FI1E001001,SCUOLA PRIMARIA,5,1,11,15
202021,PNPS9G5000,SCUOLA SECONDARIA II GRADO,4,1,10,5
202021,RMPSHR5005,SCUOLA SECONDARIA II GRADO,1,1,3,0
202021,SP1E00100C,SCUOLA PRIMARIA,1,1,12,1
202021,VT1M00400V,SCUOLA SECONDARIA I GRADO,1,2,15,19
202021,BG1E00900G,SCUOLA PRIMARIA,1,1,6,6
202021,CE1E03400E,SCUOLA PRIMARIA,5,1,13,7
202021,CE1E044005,SCUOLA PRIMARIA,5,1,14,13
202021,RM1E199003,SCUOLA PRIMARIA,4,1,7,10
202021,NA1E19600L,SCUOLA PRIMARIA,2,1,4,6
202021,PT1E00600T,SCUOLA PRIMARIA,2,1,8,11
202021,RMPS56500L,SCUOLA SECONDARIA II GRADO,3,1,4,0
202021,RMTF145002,SCUOLA SECONDARIA II GRADO,4,2,11,1
202021,MI1M05700R,SCUOLA SECONDARIA I GRADO,2,8,90,94
202021,RMTAPV5005,SCUOLA SECONDARIA II GRADO,2,1,2,2
202021,SA1E016009,SCUOLA PRIMARIA,4,2,11,17
202021,BS1EU3500Q,SCUOLA PRIMARIA,4,2,17,7
202021,TO1E04900L,SCUOLA PRIMARIA,1,2,19,21
202021,CE1E03800T,SCUOLA PRIMARIA,1,1,8,17
202021,ENSD01500A,SCUOLA SECONDARIA II GRADO,5,2,14,19
202021,MI1M09400Q,SCUOLA SECONDARIA I GRADO,1,1,8,15
202021,CO1M001001,SCUOLA SECONDARIA I GRADO,2,1,11,13
202021,RM1M149007,SCUOLA SECONDARIA I GRADO,2,1,11,9
202021,VA1M00600T,SCUOLA SECONDARIA I GRADO,3,2,15,13
202021,BA1E01000P,SCUOLA PRIMARIA,3,1,13,14
202021,MISL04500B,SCUOLA SECONDARIA II GRADO,2,3,10,55
202021,PI1M001001,SCUOLA SECONDARIA I GRADO,2,1,6,10
202021,MIPS16500L,SCUOLA SECONDARIA II GRADO,4,3,59,22
202021,MI1E11900N,SCUOLA PRIMARIA,4,1,12,4
202021,NA1E121007,SCUOLA PRIMARIA,4,1,10,14
202021,FRPSII500H,SCUOLA SECONDARIA II GRADO,2,1,4,3
202021,SR1E00600R,SCUOLA PRIMARIA,1,1,10,9
202021,BS1E010008,SCUOLA PRIMARIA,3,2,7,12
202021,NA1E270009,SCUOLA PRIMARIA,3,1,8,9
202021,PA1E4O500T,SCUOLA PRIMARIA,2,1,3,6
202021,CO1E005003,SCUOLA PRIMARIA,2,1,12,12
202021,GERI015006,SCUOLA SECONDARIA II GRADO,2,2,1,40
202021,NA1E200003,SCUOLA PRIMARIA,2,1,6,9
202021,VA1M012005,SCUOLA SECONDARIA I GRADO,2,4,50,42
202021,CS1M00100G,SCUOLA SECONDARIA I GRADO,1,1,3,8
202021,RMPS8Q500R,SCUOLA SECONDARIA II GRADO,3,1,2,4
202021,AN1E001009,SCUOLA PRIMARIA,4,1,11,5
202021,CTTD365004,SCUOLA SECONDARIA II GRADO,3,1,0,2
202021,LTPM02500Q,SCUOLA SECONDARIA II GRADO,4,1,14,5
202021,RM1E16100L,SCUOLA PRIMARIA,4,1,11,8
202021,MITB025006,SCUOLA SECONDARIA II GRADO,1,2,28,6
202021,NA1E015003,SCUOLA PRIMARIA,4,1,10,4
202021,NATDR0500L,SCUOLA SECONDARIA II GRADO,1,1,4,0
202021,BOPL57500R,SCUOLA SECONDARIA II GRADO,4,2,16,26
202021,BS1E00600L,SCUOLA PRIMARIA,2,3,30,25
202021,CTTFOR5002,SCUOLA SECONDARIA II GRADO,5,1,11,5
202021,SO1E00100E,SCUOLA PRIMARIA,2,1,7,7
202021,TVTD02500D,SCUOLA SECONDARIA II GRADO,3,1,17,8
202021,SATFTV500U,SCUOLA SECONDARIA II GRADO,5,3,75,20
202021,LUPL01500A,SCUOLA SECONDARIA II GRADO,5,1,10,7
202021,VA1E4D500Q,SCUOLA PRIMARIA,5,2,12,16
202021,RMPC19500T,SCUOLA SECONDARIA II GRADO,2,1,11,12
202021,AP1E00400B,SCUOLA PRIMARIA,3,1,11,3
202021,MIPL15500R,SCUOLA SECONDARIA II GRADO,2,1,14,18
202021,CTTDHQ5002,SCUOLA SECONDARIA II GRADO,1,1,1,0
202021,COSLAN5003,SCUOLA SECONDARIA II GRADO,3,1,8,7
202021,LU1E002008,SCUOLA PRIMARIA,3,1,18,7
202021,MI1E039002,SCUOLA PRIMARIA,5,2,27,23
202021,FI1E006004,SCUOLA PRIMARIA,2,1,14,11
202021,TARI00500A,SCUOLA SECONDARIA II GRADO,4,1,2,3
202021,MITF035002,SCUOLA SECONDARIA II GRADO,5,1,24,0
202021,NA1E064008,SCUOLA PRIMARIA,4,1,8,5
202021,NAPMEF500M,SCUOLA SECONDARIA II GRADO,3,1,0,3
202021,NATDGE5008,SCUOLA SECONDARIA II GRADO,5,2,32,34
202021,MI1M07300P,SCUOLA SECONDARIA I GRADO,3,3,43,53
202021,AQ1E00100E,SCUOLA PRIMARIA,1,1,9,9
202021,MI1EES500O,SCUOLA PRIMARIA,2,1,11,6
202021,BS1E02100P,SCUOLA PRIMARIA,3,1,8,14
202021,CZ1E002002,SCUOLA PRIMARIA,1,1,7,8
202021,RM1E177006,SCUOLA PRIMARIA,3,1,8,7
202021,RMPS41500P,SCUOLA SECONDARIA II GRADO,5,1,13,2
202021,FIPL8A500L,SCUOLA SECONDARIA II GRADO,4,1,2,2
202021,RM1M031005,SCUOLA SECONDARIA I GRADO,3,1,15,0
202021,TA1E00700G,SCUOLA PRIMARIA,1,1,9,10
202021,NATL175003,SCUOLA SECONDARIA II GRADO,4,1,2,0
202021,NA1E242005,SCUOLA PRIMARIA,5,1,5,6
202021,TO1MUU5007,SCUOLA SECONDARIA I GRADO,1,1,12,15
202021,PAPL6T500Q,SCUOLA SECONDARIA II GRADO,1,1,1,8
202021,RM1E105008,SCUOLA PRIMARIA,2,1,8,12
202021,NA1E18200P,SCUOLA PRIMARIA,4,2,18,12
202021,AL1M01000P,SCUOLA SECONDARIA I GRADO,3,2,16,11
202021,VR1E01500D,SCUOLA PRIMARIA,5,1,12,0
202021,FI1M02100B,SCUOLA SECONDARIA I GRADO,3,2,28,18
202021,TVTF015005,SCUOLA SECONDARIA II GRADO,2,1,24,0
202021,SV1E005006,SCUOLA PRIMARIA,2,2,20,14
202021,CHTL31500X,SCUOLA SECONDARIA II GRADO,3,1,2,0
202021,TE1EDS5004,SCUOLA PRIMARIA,4,1,7,9
202021,CERHD15005,SCUOLA SECONDARIA II GRADO,2,1,2,7
202021,NA1MRS5001,SCUOLA SECONDARIA I GRADO,2,1,1,0
202021,NA1E24400R,SCUOLA PRIMARIA,4,1,8,1
202021,NATD255008,SCUOLA SECONDARIA II GRADO,1,1,3,6
202021,TO1M05200N,SCUOLA SECONDARIA I GRADO,3,4,65,54
202021,NA1E05500D,SCUOLA PRIMARIA,5,2,29,19
202021,UD1E010003,SCUOLA PRIMARIA,5,1,7,15
202021,PASD005001,SCUOLA SECONDARIA II GRADO,4,6,30,69
202021,MB1EQT500D,SCUOLA PRIMARIA,4,1,6,12
202021,UDPSMD500L,SCUOLA SECONDARIA II GRADO,3,1,8,4
202021,LCSL6A500O,SCUOLA SECONDARIA II GRADO,5,1,3,5
202021,RM1E10300L,SCUOLA PRIMARIA,1,3,23,25
202021,MI1E00800A,SCUOLA PRIMARIA,4,3,30,24
202021,RM1M151007,SCUOLA SECONDARIA I GRADO,3,2,33,27
202021,VR1M00800G,SCUOLA SECONDARIA I GRADO,2,3,43,38
202021,NAPS68500Q,SCUOLA SECONDARIA II GRADO,5,1,13,8
202021,BS1E00100D,SCUOLA PRIMARIA,2,1,14,10
202021,NAPL00500C,SCUOLA SECONDARIA II GRADO,4,1,5,7
202021,TO1E01300T,SCUOLA PRIMARIA,4,2,32,19
202021,MIPC04500B,SCUOLA SECONDARIA II GRADO,4,2,14,10
202021,FIPMP9500U,SCUOLA SECONDARIA II GRADO,2,1,1,2
202021,TATD08500T,SCUOLA SECONDARIA II GRADO,3,2,9,20
202021,MI1E12600R,SCUOLA PRIMARIA,5,3,39,35
202021,PATD87500G,SCUOLA SECONDARIA II GRADO,5,2,28,23
202021,CETD115003,SCUOLA SECONDARIA II GRADO,1,1,3,1
202021,RMRH00500A,SCUOLA SECONDARIA II GRADO,1,1,4,3
202021,LCPL025002,SCUOLA SECONDARIA II GRADO,5,1,3,14
202021,APTFI65001,SCUOLA SECONDARIA II GRADO,3,1,1,0
202021,BS1E011004,SCUOLA PRIMARIA,3,1,12,12
202021,BGTL025001,SCUOLA SECONDARIA II GRADO,5,1,9,0
202021,VIPS3I500B,SCUOLA SECONDARIA II GRADO,3,2,24,10
202021,NA1E20800N,SCUOLA PRIMARIA,4,1,5,6
202021,BGSLQP500D,SCUOLA SECONDARIA II GRADO,3,1,1,5
202021,VR1M01100B,SCUOLA SECONDARIA I GRADO,1,1,7,5
202021,PDPL04500G,SCUOLA SECONDARIA II GRADO,3,1,3,12
202021,PGPMCG500I,SCUOLA SECONDARIA II GRADO,2,1,2,4
202021,MBPS40500C,SCUOLA SECONDARIA II GRADO,4,1,6,5
202021,RM1E007003,SCUOLA PRIMARIA,4,1,12,11
202021,LI1E00900L,SCUOLA PRIMARIA,3,1,12,15
202021,MEPMEB500L,SCUOLA SECONDARIA II GRADO,1,1,3,2
202021,RM1E12500D,SCUOLA PRIMARIA,1,1,7,6
202021,LC1M040009,SCUOLA SECONDARIA I GRADO,3,3,36,29
202021,MB1EF5500A,SCUOLA PRIMARIA,1,1,7,5
202021,PVPS025003,SCUOLA SECONDARIA II GRADO,2,1,2,4
202021,PVPM025004,SCUOLA SECONDARIA II GRADO,1,1,5,16
202021,VARCD7500V,SCUOLA SECONDARIA II GRADO,1,2,26,5
202021,RMPC00500D,SCUOLA SECONDARIA II GRADO,2,1,5,4
202021,RMPS03500C,SCUOLA SECONDARIA II GRADO,2,2,18,17
202021,PT1M00100X,SCUOLA SECONDARIA I GRADO,3,2,15,12
202021,NO1E00400G,SCUOLA PRIMARIA,5,3,37,26
202021,BO1EL9500N,SCUOLA PRIMARIA,2,1,13,7
202021,TO1E03000G,SCUOLA PRIMARIA,5,1,13,10
202021,MI1E03100B,SCUOLA PRIMARIA,5,2,30,23
202021,RMPSVA5006,SCUOLA SECONDARIA II GRADO,2,2,8,10
202021,PO1E006004,SCUOLA PRIMARIA,3,1,11,10
202021,VR1M025009,SCUOLA SECONDARIA I GRADO,2,1,12,14
202021,PATHFP500U,SCUOLA SECONDARIA II GRADO,1,1,1,0
202021,RM1E127005,SCUOLA PRIMARIA,3,2,20,27
202021,RC1E013007,SCUOLA PRIMARIA,5,1,6,14
202021,TOPQ04500Q,SCUOLA SECONDARIA II GRADO,4,1,19,15
202021,TO1E054004,SCUOLA PRIMARIA,2,1,6,10
202021,BS1E016007,SCUOLA PRIMARIA,2,1,10,8
202021,SA1E01300T,SCUOLA PRIMARIA,4,2,22,22
202021,CZTD00500E,SCUOLA SECONDARIA II GRADO,4,1,1,3
202021,NA1E23200E,SCUOLA PRIMARIA,5,1,6,10
202021,RM1M01100X,SCUOLA SECONDARIA I GRADO,3,1,19,13
202021,CN1E00300P,SCUOLA PRIMARIA,4,1,6,5
202021,VAPL08500N,SCUOLA SECONDARIA II GRADO,5,1,6,9
202021,NO1E00500B,SCUOLA PRIMARIA,2,1,4,8
202021,MB1E05500R,SCUOLA PRIMARIA,4,3,34,36
202021,PD1E00200N,SCUOLA PRIMARIA,1,1,3,5
202021,RM1M04600V,SCUOLA SECONDARIA I GRADO,3,2,31,23
202021,VE1E013006,SCUOLA PRIMARIA,1,1,9,15
202021,TV1E00400B,SCUOLA PRIMARIA,1,2,19,27
202021,SASD00500E,SCUOLA SECONDARIA II GRADO,2,1,2,1
202021,PG1E00200V,SCUOLA PRIMARIA,1,1,5,5
202021,ATPL01500N,SCUOLA SECONDARIA II GRADO,5,1,2,6
202021,CA1E013003,SCUOLA PRIMARIA,3,1,15,15
202021,RM1E09000Q,SCUOLA PRIMARIA,2,2,21,24
202021,TOPS20500T,SCUOLA SECONDARIA II GRADO,4,1,19,10
202021,BGPL04500P,SCUOLA SECONDARIA II GRADO,2,2,8,17
202021,RMPLAM500Z,SCUOLA SECONDARIA II GRADO,4,1,0,9
202021,TO1E03500P,SCUOLA PRIMARIA,3,3,42,41
202021,NA1E193005,SCUOLA PRIMARIA,4,1,4,6
202021,VI1M01300P,SCUOLA SECONDARIA I GRADO,2,2,18,13
202021,TO1E032007,SCUOLA PRIMARIA,3,1,5,11
202021,RMPMHA500D,SCUOLA SECONDARIA II GRADO,5,2,4,6
202021,BG1E02400N,SCUOLA PRIMARIA,1,1,5,13
202021,CTTD315003,SCUOLA SECONDARIA II GRADO,2,1,2,0
202021,RMPM7V500G,SCUOLA SECONDARIA II GRADO,3,1,11,18
202021,CS1E00400T,SCUOLA PRIMARIA,2,1,4,3
202021,RM1E14400V,SCUOLA PRIMARIA,3,1,9,4
202021,BN1E001006,SCUOLA PRIMARIA,5,2,19,11
202021,BO1M00900P,SCUOLA SECONDARIA I GRADO,1,4,33,37
202021,NATDB75009,SCUOLA SECONDARIA II GRADO,2,1,0,1
202021,RA1E00300B,SCUOLA PRIMARIA,3,2,18,22
202021,NA1E239009,SCUOLA PRIMARIA,2,1,5,13
202021,CA1E00700Q,SCUOLA PRIMARIA,4,1,9,7
202021,SO1E00100E,SCUOLA PRIMARIA,4,1,7,7
202021,RMPLI6500I,SCUOLA SECONDARIA II GRADO,4,1,1,4
202021,TO1E04400D,SCUOLA PRIMARIA,5,1,17,14
202021,NAPS045004,SCUOLA SECONDARIA II GRADO,4,1,14,6
202021,NAPS355009,SCUOLA SECONDARIA II GRADO,1,1,0,5
202021,BO1E013005,SCUOLA PRIMARIA,2,1,8,14
202021,VIPL02500Q,SCUOLA SECONDARIA II GRADO,4,1,6,7
202021,RM1E065003,SCUOLA PRIMARIA,2,1,11,12
202021,BSPMVC500O,SCUOLA SECONDARIA II GRADO,5,1,4,8
202021,FI1E01700E,SCUOLA PRIMARIA,1,2,15,21
202021,LT1E00300L,SCUOLA PRIMARIA,5,1,14,13
202021,CH1E005007,SCUOLA PRIMARIA,2,1,8,6
202021,SATD075006,SCUOLA SECONDARIA II GRADO,5,3,61,33
202021,NA1E07400V,SCUOLA PRIMARIA,5,1,12,10
202021,BN1E82500A,SCUOLA PRIMARIA,5,1,13,9
202021,RA1E005003,SCUOLA PRIMARIA,4,1,9,6
202021,NATD8F500U,SCUOLA SECONDARIA II GRADO,2,1,0,3
202021,PATD26500Q,SCUOLA SECONDARIA II GRADO,1,1,6,1
202021,TOPLM6500B,SCUOLA SECONDARIA II GRADO,1,1,1,4
202021,NA1E031001,SCUOLA PRIMARIA,4,2,15,15
202021,TOPL11500A,SCUOLA SECONDARIA II GRADO,3,1,12,4
202021,COPL11500E,SCUOLA SECONDARIA II GRADO,4,2,11,12
202021,CO1M02500D,SCUOLA SECONDARIA I GRADO,2,1,19,10
202021,MB1M01600B,SCUOLA SECONDARIA I GRADO,3,1,13,15
202021,RM1EM25008,SCUOLA PRIMARIA,3,1,9,9
202021,VR1EEF5000,SCUOLA PRIMARIA,5,1,12,10
202021,CSPM04500A,SCUOLA SECONDARIA II GRADO,1,1,1,3
202021,MIPC005001,SCUOLA SECONDARIA II GRADO,2,1,10,16
202021,FIPL06500X,SCUOLA SECONDARIA II GRADO,1,1,2,10
202021,FI1E01100G,SCUOLA PRIMARIA,5,1,14,12
202021,MOPSMO5004,SCUOLA SECONDARIA II GRADO,3,1,5,0
202021,TS1E008001,SCUOLA PRIMARIA,5,1,10,12
202021,NAPSQA500Q,SCUOLA SECONDARIA II GRADO,4,1,2,0
202021,VAPS06500N,SCUOLA SECONDARIA II GRADO,2,1,10,5
202021,FIPS035009,SCUOLA SECONDARIA II GRADO,2,1,4,5
202021,NA1E18800N,SCUOLA PRIMARIA,3,1,7,3
202021,RM1E04500T,SCUOLA PRIMARIA,1,1,6,7
202021,PT1E00300A,SCUOLA PRIMARIA,3,1,7,8
202021,TO1E02600X,SCUOLA PRIMARIA,3,2,22,17
202021,MIRF105007,SCUOLA SECONDARIA II GRADO,2,1,4,21
202021,PD1E019003,SCUOLA PRIMARIA,2,2,19,20
202021,CHPMVZ5007,SCUOLA SECONDARIA II GRADO,4,1,1,2
202021,BGPS12500G,SCUOLA SECONDARIA II GRADO,5,2,17,5
202021,TO1M02400D,SCUOLA SECONDARIA I GRADO,1,1,12,9
202021,RM1E11100G,SCUOLA PRIMARIA,4,1,9,13
202021,VT1E00500D,SCUOLA PRIMARIA,2,1,11,7
202021,VE1E00100X,SCUOLA PRIMARIA,5,1,11,13
202021,SA1E01000A,SCUOLA PRIMARIA,1,1,8,6
202021,MI1E07900C,SCUOLA PRIMARIA,4,1,11,11
202021,ALPMQR5008,SCUOLA SECONDARIA II GRADO,4,1,4,2
202021,PS1E00200B,SCUOLA PRIMARIA,5,1,8,9
202021,CSTBMC500N,SCUOLA SECONDARIA II GRADO,2,1,1,1
202021,SARH8B5007,SCUOLA SECONDARIA II GRADO,1,1,2,2
202021,NATFZE5004,SCUOLA SECONDARIA II GRADO,3,1,1,3
202021,BSPM6Z500C,SCUOLA SECONDARIA II GRADO,3,1,7,4
202021,NAPMRP500S,SCUOLA SECONDARIA II GRADO,4,1,3,2
202021,MI1M050002,SCUOLA SECONDARIA I GRADO,2,1,13,9
202021,BA1E00300G,SCUOLA PRIMARIA,3,2,24,22
202021,VAPSOR500F,SCUOLA SECONDARIA II GRADO,5,1,15,3
202021,CZPC00500G,SCUOLA SECONDARIA II GRADO,1,1,9,8
202021,VR1E003007,SCUOLA PRIMARIA,2,1,8,6
202021,RN1E001002,SCUOLA PRIMARIA,3,2,22,15
202021,BOPSRU500R,SCUOLA SECONDARIA II GRADO,5,1,15,10
202021,CTTD045008,SCUOLA SECONDARIA II GRADO,5,1,2,2
202021,PT1E00600T,SCUOLA PRIMARIA,4,1,10,6
202021,LEPC01500P,SCUOLA SECONDARIA II GRADO,1,1,0,4
202021,BSTD355007,SCUOLA SECONDARIA II GRADO,3,1,4,0
202021,PO1E01700E,SCUOLA PRIMARIA,4,1,9,10
202021,MI1M06400X,SCUOLA SECONDARIA I GRADO,1,2,39,0
202021,NA1M060006,SCUOLA SECONDARIA I GRADO,2,1,4,6
202021,NA1E11700G,SCUOLA PRIMARIA,4,2,25,18
202021,FI1E00300L,SCUOLA PRIMARIA,2,1,6,8
202021,MCPM0L500Q,SCUOLA SECONDARIA II GRADO,4,1,1,0
202021,FG1E01300E,SCUOLA PRIMARIA,3,1,10,10
202021,CE1E06200P,SCUOLA PRIMARIA,4,1,6,4
202021,TOPS09500G,SCUOLA SECONDARIA II GRADO,1,2,10,10
202021,VT1M00600E,SCUOLA SECONDARIA I GRADO,3,1,10,11
202021,VRTF035002,SCUOLA SECONDARIA II GRADO,4,1,5,1
202021,NA1E25800P,SCUOLA PRIMARIA,5,1,5,7
202021,CTPM23500L,SCUOLA SECONDARIA II GRADO,1,1,0,3
202021,SATD30500E,SCUOLA SECONDARIA II GRADO,3,2,1,2
202021,CE1E022008,SCUOLA PRIMARIA,4,2,18,13
202021,TVTF02500Q,SCUOLA SECONDARIA II GRADO,4,1,8,0
202021,NA1E165001,SCUOLA PRIMARIA,3,1,5,5
202021,FIPC04500R,SCUOLA SECONDARIA II GRADO,2,1,2,0
202021,TV1E00900E,SCUOLA PRIMARIA,2,1,8,10
202021,RMPM5R5008,SCUOLA SECONDARIA II GRADO,3,1,4,3
202021,SVPS015002,SCUOLA SECONDARIA II GRADO,4,2,11,12
202021,NAPC135007,SCUOLA SECONDARIA II GRADO,5,2,40,29
202021,LT1E01000Q,SCUOLA PRIMARIA,1,1,4,6
202021,MI1E02700Q,SCUOLA PRIMARIA,2,1,9,5
202021,RM1E157001,SCUOLA PRIMARIA,2,1,10,3
202021,LO1E001007,SCUOLA PRIMARIA,5,1,16,10
202021,BSPM4P500U,SCUOLA SECONDARIA II GRADO,5,1,6,12
202021,MBPSLD5004,SCUOLA SECONDARIA II GRADO,1,1,5,1
202021,MI1M06400X,SCUOLA SECONDARIA I GRADO,3,2,44,0
202021,APRF3R500G,SCUOLA SECONDARIA II GRADO,5,1,14,19
202021,BS1E002009,SCUOLA PRIMARIA,4,1,11,12
202021,CTTE01500X,SCUOLA SECONDARIA II GRADO,2,3,15,13
202021,UDTF00500V,SCUOLA SECONDARIA II GRADO,5,1,23,2
202021,FRRFL1500I,SCUOLA SECONDARIA II GRADO,2,1,1,1
202021,SATFPG500G,SCUOLA SECONDARIA II GRADO,3,1,4,1
202021,FEPLL35007,SCUOLA SECONDARIA II GRADO,4,1,8,12
202021,BS1E010008,SCUOLA PRIMARIA,2,2,8,8
202021,MIPM2A500Z,SCUOLA SECONDARIA II GRADO,5,1,9,14
202021,NA1E23000V,SCUOLA PRIMARIA,2,1,5,7
202021,CE1E02700B,SCUOLA PRIMARIA,1,1,12,6
202021,AP1M001005,SCUOLA SECONDARIA I GRADO,2,2,13,9
202021,RM1E01800D,SCUOLA PRIMARIA,4,1,11,6
202021,LI1E005009,SCUOLA PRIMARIA,3,2,19,22
202021,TS1E00400N,SCUOLA PRIMARIA,2,1,6,8
202021,SRTD08500V,SCUOLA SECONDARIA II GRADO,5,1,8,8
202021,RMPL48500Q,SCUOLA SECONDARIA II GRADO,3,1,0,4
202021,VA1E01800V,SCUOLA PRIMARIA,3,1,5,7
202021,BGSLAE500Q,SCUOLA SECONDARIA II GRADO,1,1,2,1
202021,RMPS335003,SCUOLA SECONDARIA II GRADO,3,1,20,9
202021,MO1E01100B,SCUOLA PRIMARIA,5,3,32,29
202021,VI1M008007,SCUOLA SECONDARIA I GRADO,3,1,10,17
202021,VI1E008002,SCUOLA PRIMARIA,4,1,12,4
202021,GE1E039008,SCUOLA PRIMARIA,1,2,17,13
202021,MI1E059007,SCUOLA PRIMARIA,5,2,29,22
202021,RMTD70500E,SCUOLA SECONDARIA II GRADO,1,1,7,1
202021,RM1E156005,SCUOLA PRIMARIA,5,1,10,9
202021,LE1E009009,SCUOLA PRIMARIA,3,1,3,9
202021,PGTDEI500F,SCUOLA SECONDARIA II GRADO,5,1,9,5
202021,NATDGE5008,SCUOLA SECONDARIA II GRADO,2,1,2,8
202021,PVPSTA500Q,SCUOLA SECONDARIA II GRADO,3,1,10,1
202021,VA1E01800V,SCUOLA PRIMARIA,2,1,5,11
202021,LCTB00500V,SCUOLA SECONDARIA II GRADO,5,1,10,0
202021,VASLAA500P,SCUOLA SECONDARIA II GRADO,1,1,1,10
202021,IM1M00500T,SCUOLA SECONDARIA I GRADO,2,1,11,10
202021,PA1E00300N,SCUOLA PRIMARIA,4,1,5,9
202021,RM1E077009,SCUOLA PRIMARIA,4,1,6,9
202021,CS1E010005,SCUOLA PRIMARIA,3,1,1,7
202021,CE1ELC500C,SCUOLA PRIMARIA,3,1,8,6
202021,VRPC04500B,SCUOLA SECONDARIA II GRADO,2,1,13,14
202021,NA1E241009,SCUOLA PRIMARIA,3,1,10,1
202021,TO1M04500E,SCUOLA SECONDARIA I GRADO,1,2,18,16
202021,NA1E052002,SCUOLA PRIMARIA,1,1,9,9
202021,PAPSVD500Q,SCUOLA SECONDARIA II GRADO,5,1,5,1
202021,PASD01500G,SCUOLA SECONDARIA II GRADO,1,2,9,14
202021,LCPSU45004,SCUOLA SECONDARIA II GRADO,2,1,14,10
202021,BS1M005002,SCUOLA SECONDARIA I GRADO,2,3,27,36
202021,RM1E06100Q,SCUOLA PRIMARIA,2,1,9,15
202021,CS1MT95008,SCUOLA SECONDARIA I GRADO,2,1,4,2
202021,MI1MT3500U,SCUOLA SECONDARIA I GRADO,1,2,26,30
202021,SAPS005004,SCUOLA SECONDARIA II GRADO,2,1,2,4
202021,NA1E150007,SCUOLA PRIMARIA,5,1,9,4
202021,SARHZG500U,SCUOLA SECONDARIA II GRADO,1,1,3,3
202021,CETD15500D,SCUOLA SECONDARIA II GRADO,5,2,41,17
202021,SRTDRP500U,SCUOLA SECONDARIA II GRADO,5,2,27,19
202021,LC1M070005,SCUOLA SECONDARIA I GRADO,3,2,25,27
202021,RGPM00500A,SCUOLA SECONDARIA II GRADO,4,1,1,0
202021,SATFNZ5007,SCUOLA SECONDARIA II GRADO,5,2,55,1
202021,VAPM04500D,SCUOLA SECONDARIA II GRADO,2,1,4,16
202021,BGRH005007,SCUOLA SECONDARIA II GRADO,5,1,14,11
202021,CTPM315008,SCUOLA SECONDARIA II GRADO,1,1,2,2
202021,RMPS24500R,SCUOLA SECONDARIA II GRADO,1,3,38,12
202021,SATDG0500E,SCUOLA SECONDARIA II GRADO,5,2,46,17
202021,BS1E002009,SCUOLA PRIMARIA,5,1,11,12
202021,SSTD02500P,SCUOLA SECONDARIA II GRADO,5,1,16,11
202021,TVPL005007,SCUOLA SECONDARIA II GRADO,5,1,3,17
202021,RE1E007005,SCUOLA PRIMARIA,5,2,22,19
202021,BSPMNI500T,SCUOLA SECONDARIA II GRADO,2,1,6,20
202021,BSPS075008,SCUOLA SECONDARIA II GRADO,4,2,26,20
202021,RM1E10700X,SCUOLA PRIMARIA,1,1,12,7
202021,NATHE15007,SCUOLA SECONDARIA II GRADO,1,1,4,0
202021,MI1M056001,SCUOLA SECONDARIA I GRADO,2,1,8,10
202021,NA1E02000E,SCUOLA PRIMARIA,1,2,18,10
202021,NA1E239009,SCUOLA PRIMARIA,4,1,14,7
202021,NA1E243001,SCUOLA PRIMARIA,4,1,5,5
202021,LI1E006005,SCUOLA PRIMARIA,1,2,11,18
202021,TO1M056001,SCUOLA SECONDARIA I GRADO,2,3,45,43
202021,LC1E00500R,SCUOLA PRIMARIA,2,2,17,18
202021,VC1E00100P,SCUOLA PRIMARIA,1,1,12,11
202021,RM1E10200R,SCUOLA PRIMARIA,2,2,20,21
202021,VIPS3I500B,SCUOLA SECONDARIA II GRADO,2,2,22,14
202021,CE1E02100C,SCUOLA PRIMARIA,5,1,6,5
202021,AL1E6U500H,SCUOLA PRIMARIA,1,1,4,8
202021,MIPL30500D,SCUOLA SECONDARIA II GRADO,2,1,2,8
202021,RM1M10900R,SCUOLA SECONDARIA I GRADO,3,1,9,3
202021,TO1E00600P,SCUOLA PRIMARIA,1,1,9,12
202021,CETL04500C,SCUOLA SECONDARIA II GRADO,1,1,2,1
202021,CE1ELF5000,SCUOLA PRIMARIA,5,1,8,8
202021,VBRH155008,SCUOLA SECONDARIA II GRADO,2,1,8,5
202021,LC1M05000X,SCUOLA SECONDARIA I GRADO,2,3,36,41
202021,RGTD11500L,SCUOLA SECONDARIA II GRADO,3,1,2,0
202021,MB1E058008,SCUOLA PRIMARIA,1,1,19,9
202021,MIPSRF5008,SCUOLA SECONDARIA II GRADO,3,1,3,0
202021,PDTD01500R,SCUOLA SECONDARIA II GRADO,2,1,11,1
202021,MI1M00200L,SCUOLA SECONDARIA I GRADO,1,1,10,11
202021,RM1EZR5005,SCUOLA PRIMARIA,4,1,9,5
202021,BGPSRR5006,SCUOLA SECONDARIA II GRADO,1,1,12,5
